# Horizon-memory effective equation of state w(z)
# Model: lambda_hor=0.156, tau_hor=0.1
# c_s^2 = 1.0
# z    w(z)
0.000000  -1.18024987
0.101010  -1.42701652
0.202020  -1.49029825
0.303030  -1.54893051
0.404040  -1.60216876
0.505051  -1.64977403
0.606061  -1.69186435
0.707071  -1.72878161
0.808081  -1.76098856
0.909091  -1.78899446
1.010101  -1.81330722
1.111111  -1.83440531
1.212121  -1.85272438
1.313131  -1.86865096
1.414141  -1.88252131
1.515152  -1.89462849
1.616162  -1.90522105
1.717172  -1.91451333
1.818182  -1.92268740
1.919192  -1.92989731
2.020202  -1.93627458
2.121212  -1.94193119
2.222222  -1.94696242
2.323232  -1.95144946
2.424242  -1.95546171
2.525253  -1.95905921
2.626263  -1.96229310
2.727273  -1.96520680
2.828283  -1.96783834
2.929293  -1.97022171
3.030303  -1.97238388
3.131313  -1.97435162
3.232323  -1.97614492
3.333333  -1.97778484
3.434343  -1.97928654
3.535354  -1.98066617
3.636364  -1.98193745
3.737374  -1.98311129
3.838384  -1.98419954
3.939394  -1.98521287
4.040404  -1.98616032
4.141414  -1.98705060
4.242424  -1.98789277
4.343434  -1.98869566
4.444444  -1.98946813
4.545455  -1.99021926
4.646465  -1.99095859
4.747475  -1.99169642
4.848485  -1.99244400
4.949495  -1.99321384
5.050505  -1.99401999
5.151515  -1.99487838
5.252525  -1.99580721
5.353535  -1.99682729
5.454545  -1.99796256
5.555556  -1.99924057
5.656566  -2.00069311
5.757576  -2.00235709
5.858586  -2.00427624
5.959596  -2.00650010
6.060606  -2.00908569
6.161616  -2.01209867
6.262626  -2.01561634
6.363636  -2.01972870
6.464646  -2.02453730
6.565657  -2.03015937
6.666667  -2.03673424
6.767677  -2.04441955
6.868687  -2.05339607
6.969697  -2.06387863
7.070707  -2.07611093
7.171717  -2.09037610
7.272727  -2.10700840
7.373737  -2.12638836
7.474747  -2.14897217
7.575758  -2.17528202
7.676768  -2.20594741
7.777778  -2.24169963
7.878788  -2.28342308
7.979798  -2.33216732
8.080808  -2.38921068
8.181818  -2.45610531
8.282828  -2.50000000
8.383838  -2.50000000
8.484848  -2.50000000
8.585859  -2.50000000
8.686869  -2.50000000
8.787879  -2.50000000
8.888889  -2.50000000
8.989899  -2.50000000
9.090909  -2.50000000
9.191919  -2.50000000
9.292929  -2.50000000
9.393939  -2.50000000
9.494949  -2.50000000
9.595960  -2.50000000
9.696970  -2.50000000
9.797980  -2.50000000
9.898990  -2.50000000
10.000000  -1.00000000
