# Horizon-memory effective dark energy density fraction
# Model: lambda_hor=0.178, tau_hor=0.1
# z    Omega_de(z)
0.000000  0.69991000
0.101010  0.63023094
0.202020  0.56111073
0.303030  0.49519394
0.404040  0.43431378
0.505051  0.37947060
0.606061  0.33097471
0.707071  0.28865160
0.808081  0.25203690
0.909091  0.22052751
1.010101  0.19348325
1.111111  0.17028745
1.212121  0.15037804
1.313131  0.13325980
1.414141  0.11850574
1.515152  0.10575265
1.616162  0.09469415
1.717172  0.08507301
1.818182  0.07667381
1.919192  0.06931621
2.020202  0.06284913
2.121212  0.05714584
2.222222  0.05209977
2.323232  0.04762112
2.424242  0.04363396
2.525253  0.04007390
2.626263  0.03688621
2.727273  0.03402416
2.828283  0.03144777
2.929293  0.02912270
3.030303  0.02701939
3.131313  0.02511228
3.232323  0.02337922
3.333333  0.02180099
3.434343  0.02036080
3.535354  0.01904399
3.636364  0.01783772
3.737374  0.01673071
3.838384  0.01571301
3.939394  0.01477584
4.040404  0.01391143
4.141414  0.01311289
4.242424  0.01237409
4.343434  0.01168957
4.444444  0.01105446
4.545455  0.01046439
4.646465  0.00991545
4.747475  0.00940414
4.848485  0.00892730
4.949495  0.00848207
5.050505  0.00806589
5.151515  0.00767643
5.252525  0.00731159
5.353535  0.00696946
5.454545  0.00664830
5.555556  0.00634653
5.656566  0.00606272
5.757576  0.00579555
5.858586  0.00554382
5.959596  0.00530643
6.060606  0.00508238
6.161616  0.00487075
6.262626  0.00467069
6.363636  0.00448142
6.464646  0.00430222
6.565657  0.00413244
6.666667  0.00397146
6.767677  0.00381872
6.868687  0.00367370
6.969697  0.00353592
7.070707  0.00340494
7.171717  0.00328033
7.272727  0.00316173
7.373737  0.00304876
7.474747  0.00294111
7.575758  0.00283845
7.676768  0.00274052
7.777778  0.00264702
7.878788  0.00255773
7.979798  0.00247240
8.080808  0.00239082
8.181818  0.00231278
8.282828  0.00223809
8.383838  0.00216658
8.484848  0.00209808
8.585859  0.00203243
8.686869  0.00196948
8.787879  0.00190910
8.888889  0.00185116
8.989899  0.00179553
9.090909  0.00174210
9.191919  0.00169076
9.292929  0.00164141
9.393939  0.00159396
9.494949  0.00154831
9.595960  0.00150438
9.696970  0.00146209
9.797980  0.00142137
9.898990  0.00138213
10.000000  0.00134431
